"MB_CODIGO";"MB_IMPLEMENTACAO"
5.202;"called parser operation found param modifiers sequence operation modifiers param type type operation param name name operation string param parameters vectors representing parameter param javadoc javadoc comment comment available operation object add operation modifiers string type string name vector parameters string javadoc object operation operation name parse feature operation model core helper set operation modifiers java recognizer acc model core helper set leaf operation modifiers java recognizer acc model core helper set root operation set owner scope operation modifiers set visibility operation modifiers modifiers java recognizer acc model core helper set concurrency operation model concurrency guarded model facade concurrency operation model concurrency guarded model core helper set concurrency operation model concurrency sequential collection array list model facade parameters operation iterator iterator model core helper remove parameter operation object parameter string type name object classifier type equals type name equals model facade name parse classifier constructor model core helper add stereotype operation stereotype operation create behavioral feature classifier context type classifier name type object mdl project manager manager current project model object type project manager manager current project type parameter model core factory build parameter operation mdl type model core helper set name parameter model core helper set parameter model direction parameter model core helper set type parameter classifier classifier found exception currently classifier found model classpath information lost source files classifier created fly log warn modeller java classifier source file generated model generating operation type information lost iterator parameters iterator vector parameter vector type name string parameter element classifier context type name classifier name type name object mdl project manager manager current project model object type project manager manager current project type parameter model core factory build parameter operation mdl type model core helper set name parameter string parameter element model core helper set parameter model direction parameter model facade classifier classifier model core helper set type parameter classifier type resolution failed valid classifier log warn modeller java valid type parameter resolved file file name operation model facade name operation parameter model facade name parameter classifier found exception currently classifier found model classpath information lost source files classifier created fly log warn modeller java classifier source file generated model generating operation params information lost add documentation tag operation javadoc operation"
5.203;"called parser add method body operation operation exactly java body param operation param body method body add body operation object string body model facade operation log warn adding body failed operation body body length object method method model facade name parse feature method model core helper set body method model data types factory create procedure expression java body add method specification model core helper add method method add method feature classifier owns operation model core helper add feature model facade owner method"
5.204;"called parser attribute found param modifiers sequence attribute modifiers param type spec attributes type param name name attribute param initializer initial value attribute param javadoc javadoc comment comment available add attribute modifiers string type spec string name string initializer string javadoc string multiplicity arrays datatype type spec index type spec type spec substring type spec index multiplicity multiplicity attribute type object classifier attribute type classifier context type spec classifier name type spec classifier found exception currently classifier found model classpath information lost source files classifier created fly log warn modeller java classifier source file generated model generating attribute information lost cant attribute type cant add attribute create uml attribute associations model facade data type classifier model facade namespace classifier java lang object attribute parse attribute name attribute attribute build attribute parse classifier name parse feature attribute set owner scope attribute modifiers set visibility attribute modifiers model core helper set multiplicity attribute multiplicity model facade classifier classifier model core helper set type attribute classifier type resolution failed valid classifier log warn modeller java valid type parameter resolved file file name attribute model facade name attribute set initial value attribute initializer remove line endings tabs intializer strings otherwise classes display horribly initializer initializer replace initializer initializer replace object initial value model data types factory create expression java initializer model core helper set initial value attribute initial value modifiers java recognizer acc model core helper set changeable attribute model facade changeable attribute model core helper set changeable attribute add documentation tag attribute javadoc create uml association java attribute object association association name classifier set target scope association modifiers set visibility association modifiers model core helper set multiplicity association multiplicity model core helper set type association classifier model core helper set name association name modifiers java recognizer acc model core helper set changeable association model core helper set navigable association add documentation tag association javadoc"
5.205;"generalization model exist generalization created param look param parent superclass param child subclass generalization found created object generalization object object parent object child string name model facade name child model facade name parent object generalization generalization model facade generalization child parent generalization generalization model core factory build generalization child parent name generalization model core helper set namespace generalization generalization"
5.206;"abstraction realize model exist abstraction created param parent superclass param child subclass abstraction found created object abstraction object parent object child string name model facade name child model facade name parent object abstraction iterator model facade client dependencies child iterator abstraction collection model facade suppliers abstraction size model core helper remove client dependency child abstraction parent array abstraction abstraction abstraction model core factory build abstraction name parent child abstraction"
5.207;"model exist created param name name found created object string name object search model name model model management factory build relative name name name model core helper set namespace model owner equals name name model core helper add owned element model model core helper add owned element name name"
5.208;"search recursivly nested packages model pass org argouml kernel method searches kernel owned argouml owned org method required nest parsed packages param name qualified name searching found model object search model string name equals name name model facade lookup model name object owner search model name name owner model facade lookup owner relative name name"
5.209;"operation current classifier operation found created param name name operation operation found created object operation string name object operation parse operation name operation log info getting existing operation name log info creating operation name object cls parse classifier object mdl project manager manager current project model object type project manager manager current project type operation model core factory build operation cls mdl type name iterator project manager manager current project figs parse classifier iterator object listener uml model event pump pump remove model event listener listener operation uml model event pump pump add model event listener listener operation uml model event pump pump remove model event listener listener operation parameter uml model event pump pump add model event listener listener model facade parameter operation operation"
5.210;"operation current classifier operation found created param name name method method found created object method string name object method parse method name method log info getting existing method name log info creating method name method model core factory build method name model core helper add feature parse classifier method method"
5.211;"attribute current classifier attribute found created param name name attribute attribute found created object build attribute object classifier string name project project project manager manager current project object type project type object model project model object attribute model core factory build attribute classifier model type model core helper set name attribute name attribute"
5.212;"association current classifier type specified found created param name name attribute param classifier association attribute found created object association string name object classifier object association iterator model facade association classifier iterator object name equals model facade name model facade type model facade opposite parse classifier association association associations string name model facade name parse classifier model facade name classifier object association model core factory build association classifier parse classifier name association model facade association classifier association association"
5.213;"stereotype specific name param name name stereotype stereotype object stereotype string name log info trying stereotype name name line safe wouldnt model element name stereotype object stereotype model facade lookup model name stereotype log info couldnt creating model extension mechanisms factory build stereotype name model model facade stereotype stereotype piece code create existing stereotype error log info found isnt stereotype creating model extension mechanisms factory build stereotype name model log info found stereotype"
5.214;"suitable stereotype baseclass object param param name param base stereotype found illegal argument exception desired stereotypes modelelement baseclass found stereotype created object stereotype object string name string base collection models project manager manager current project models collection stereos model extension mechanisms helper stereotypes models stereos stereos size iterator iter stereos iterator iter object stereotype iter model extension mechanisms helper stereotype inh stereotype name base log info returning existing stereotype model facade name stereotype stereotype todo instead failing create stereotypes requires cause failure stereotype isnt included profile tfm illegal argument exception suitable stereotype stereotype name base base"
5.215;"tagged value specific tag param element tagged value belongs param name tag found tag created found object tagged value object element string name object model facade tagged value element name model core helper set tagged value element name model facade tagged value element name"
5.216;"classifier earlier generated reference time parsed clean remnants param element removed clean model element object element iterator model facade tagged values element object model facade value tag equals facade generated tag model uml factory delete"
5.217;"name specified classifier name param name specified classifier name name string name string name dot name index dot name substring dot"
5.218;"relative name qualified name parameter org argouml kernel method supposed kernel kernel org argouml param name qualified name relative name string relative name string name relative name corresponds classifier name qualified classifier simply method classifier name name"
5.219;"classifier name specified classifier name param name specified classifier name classifier name string classifier name string name dot name index dot name name substring dot"
5.220;"set visibility model element param element model element param modifiers sequence modifiers contain set visibility object element modifiers modifiers java recognizer acc model core helper set tagged value element src modifiers modifiers java recognizer acc model core helper set visibility element model visibility modifiers java recognizer acc model core helper set visibility element model visibility modifiers java recognizer acc model core helper set visibility element model visibility java visibility model core helper set visibility element model visibility"
5.221;"set owner scope feature param feature feature param modifiers sequence modifiers contain set owner scope object feature modifiers modifiers java recognizer acc model core helper set owner scope feature model scope classifier model core helper set owner scope feature model scope instance"
5.222;"set target scope association param association param modifiers sequence modifiers contain set target scope object association modifiers modifiers java recognizer acc model core helper set target scope association model scope classifier model core helper set target scope association model scope instance"
5.223;"context classifier name qualified param name classifier name context context string name context context parse context string name name name equals name context context context name context"
5.242;"creates instance explorer tree node param user obj object tree param tree model explorer tree node object user obj explorer tree model user obj model user obj uml diagram uml diagram user obj add property change listener"
5.243;"javax swing tree tree node leaf leaf expanded model update children tree path model path root expanded leaf"
5.244;"pending pending"
5.245;"set pending value pending value"
5.224;"add contents single standard javadoc tag model element usually added tagged value called link add documentation tag param model element add param tag name name javadoc tag param tag data contents javadoc tag add javadoc tag contents object string tag name string tag data colon pos tag data tag data index colon pos invariant equals tag name pre condition equals tag name post condition equals tag name add ocl constraint string context ocl util context string string name tag data substring colon pos string body tag name equals invariant add invariant constraint note checking constraint syntax performed bad body context inv tag data tag name equals pre condition body context pre tag data body context post tag data object bexpr model data types factory create expression ocl body object model core factory build constraint name bexpr model core helper add constraint model facade namespace apparently namespace management supported model elements cause ill leave moment model core helper add owned element model facade namespace stereotype equals tag name multiple stereotype support stereotype tag stereotype tags object tagged value tag name string stereotype model facade value tag stereotype stereotype length tag data stereotype tag data eliminate multiple entries comma separated list hash set set hash set string tokenizer string tokenizer tag data tokens set add token trim string buffer string buffer iterator iter set iterator iter length append append iter tag data string model extension mechanisms helper add tagged value model extension mechanisms factory build tagged value tag name tag data"
5.225;"add javadocs tagged value documentation model element comment delimiters removed prior adding comment added steffen zschaler param model element model element add documentation param java docs documentation comment add java docs add documentation tag object model element string java docs java docs java docs trim length string buffer pure docs string buffer string current tag name string current tag data start pos skip leading asterisk start pos java docs length java docs start pos asterisk start pos white space hope didnt miss ignore white space asterisk asterisk start pos normal comment text standard tag check ahead tag start pos java docs length java docs java docs java docs length java docs javadoc line line found causing indexoutofboundexception line pos java docs index line pos java docs length line pos java docs index pure docs append java docs substring line pos start standard tag potentially add current tag set tagged values current tag name add javadoc tag contents model element current tag name current tag data tag temp java docs index temp temp java docs length current tag name java docs substring temp temp java docs index temp temp temp java docs length temp current tag data java docs substring temp temp start pos temp standard tag comment text temp java docs index start pos temp temp java docs length temp current tag name pure docs append java docs substring start pos temp current tag data java docs substring start pos temp pure docs append java docs substring start pos temp start pos temp asterisk java docs pure docs string documentation text theres trailing left actual comment text tag java docs remove trailing slash java docs handle tag strip trailing slash current tag name current tag data remove trailing slash current tag data add javadoc tag contents model element current tag name current tag data store documentation text tagged value model extension mechanisms helper add tagged value model element model extension mechanisms factory build tagged value documentation java docs add stereotypes model element"
5.226;"remove trailing slash including entire line line string remove trailing slash string substring length substring length"
5.227;"tagged value named stereotype real stereotype remove tagged value allow multiple instances tagged value parse single instance multiple stereotypes add stereotypes object model element object model facade tagged value model element stereotype string stereo model facade value tag stereo stereo length string tokenizer string tokenizer stereo tokens model core helper add stereotype model element stereotype token trim model uml factory delete"
5.228;"add parsed method call collection method calls param method name method name called add call string method name method calls add method name"
5.229;"collection method calls vector containing collected method calls vector method calls method calls"
5.230;"collected method calls method calls method calls"
5.231;"add local variable declaration list variables param type type declared variable param name name declared variable add local variable declaration string type string name local variables name type"
5.232;"collected set local variable declarations hashtable containing local variable declarations hashtable local variable declarations local variables"
5.233;"set local variable declarations local variable declarations local variables"
5.234;"constructor fig dependency middle add fig name fig middle add fig stereotype fig add path item middle path conv percent middle arrow arrow head arrow set fill color color red set dest arrow head arrow set nearest set layer project manager manager current project active diagram layer fig set dashed"
5.235;"constructor sets uml element param edge uml element fig dependency object edge set owner edge"
5.236;"param edge uml element param lay layer fig dependency object edge layer lay set owner edge set layer lay"
5.237;"org tigris gef presentation fig edge set fig org tigris gef presentation fig set fig fig set fig fig set dashed compute route recomputes route reload diagram"
5.238;"org argouml uml diagram fig edge model element edit org tigris gef presentation fig edit fig"
5.239;"org tigris gef presentation fig paint java awt graphics paint graphics arrow set line color line color paint"
5.240;"org argouml uml diagram fig edge model element rendering changed rendering changed update stereotype text rendering changed middle calc bounds"
5.241;"org argouml uml diagram fig edge model element model changed java beans property change event model changed property change event model changed middle calc bounds"
5.249;"java beans property change listener property change java beans property change event property change property change event evt name uml diagram represented node changed evt source uml diagram name equals evt property name model node changed"
5.250;"constructor status bar progress set minimum progress set maximum progress set minimum size dimension progress set size dimension msg set minimum size dimension msg set size dimension msg set font font dialog font plain msg set foreground color black set layout border layout set border etched border etched border lowered add msg border layout center add progress border layout east"
5.251;"param status string status string msg set text paint immediately bounds"
5.252;"param percent percentage progress bar shown progress percent progress set value percent"
5.253;"param delata percent increment progrss bar inc progress delata percent progress set value progress value delata percent"
5.254;"param status bar text param maximum value progress fake progress string status text status status text implemented progress set maximum progress set value thread thread start"
5.255;"java lang runnable run run progress maximum progress set value repaint wait exception status status text repaint wait exception progress set value status repaint"
5.256;"constructor test tab diagram param arg name test test tab diagram string arg arg"
5.257;"junit framework test set set exception set diagram uml diagram"
5.258;"junit framework test tear tear exception tear diagram"
5.259;"test diagram tab construction test construction tab diagram tab diagram tab diagram equals tab diagram title diagram exception head"
5.260;"tests set target method diagram target test set target diagram tab diagram tab diagram tab diagram tab diagram set target diagram equals tab diagram graph graph model diagram graph model equals tab diagram target diagram tab diagram enabled diagram exception head"
5.261;"tests settarget method target diagram simple object test set target diagram tab diagram tab diagram tab diagram object object graph graph tab diagram graph tab diagram set target graph stay equals tab diagram graph graph exception head"
5.262;"test performance adding operation thats represented diagrams created diagram selected test fire model event performance setup performance test uml diagram diagrams uml diagram diagrams project project project manager manager current project object clazz model core factory build diagrams diagrams uml diagram project root diagrams add fig diagrams graph model clazz target manager instance set target diagrams real test current time date time object model project model object type project type model core factory build operation clazz model type system println time adding operation date time current time exception head"
5.263;"constructor param arg name test test core helper mock string arg arg"
5.264;"junit framework test set set system set property argouml model implementation org argouml model mock model implementation model facade load model mock mock model implementation called set implementation mock reset registering memento model set memento creation observer memento creation observer"
5.265;"org argouml model memento creation observer memento created org argouml model model memento memento created model memento memento memo memento"
5.266;"junit framework test tear tear mock verify"
5.267;"test link org argouml model core helper set object test set object object record doing mock facade mock facade control set value mock core helper set mock replay doing model core helper set mock verify record undoing mock reset mock core helper set mock replay undoing memo undo record redoing mock reset mock core helper set mock replay redoing memo redo"
5.268;"constructor action set element ownership specification action set action asynchronous translator localize action set set tooltip string value action description translator localize action set"
5.269;"java awt event action listener action performed java awt event action event action performed action event action performed source uml check box uml check box source uml check box source object target source target model facade action target object target model common behavior helper set asynchronous source selected"
5.270;"returns singleton action set action asynchronous instance singleton"
5.274;"complete java name param name java format string java name object object parent model facade namespace model facade model parent model facade name parent java name parent model facade name"
5.275;"param context set set context context context"
5.276;"returns context context context context"
5.277;"wiz"
5.278;"org argouml cognitive wizard num steps num steps"
5.279;"org argouml cognitive wizard panel panel panel step step step item item item item critic item poster step wiz step text field instructions threshold integer string critic threshold step"
5.280;"org argouml cognitive wizard finish finish finish step step step integer parse step text format exception intentional nonsense field"
5.281;"org argouml cognitive wizard action action step step string threshold item item item item critic item poster step threshold step text critic set threshold integer parse threshold format exception intentional nonsense field set value"
5.282;"anonymous constructor allows configuration changes configuration handler"
5.283;"constructor optionally allows configuration changes param indicates configuration changed configuration handler changeable"
5.284;"returns configuration path filename url guaranteed usable implementations configuration handler configuration path url string path"
5.285;"internal worker called prior value set value ensure load loaded previously load loaded load"
5.286;"load configuration location call loaded configuration otherwise distinguishing load error previously loaded configuration loaded load allow load loaded status load file path status status load unspecified loaded status"
5.287;"save configuration location loaded force configuration loaded save successful attempted encountered error save save"
5.288;"save configuration location loaded param force save normally save successful attempted encountered error save force force file file file path saved save file file saved loaded file file saved loaded loaded file save file loaded file loaded url save url loaded url"
5.289;"indicates configuration saved configuration saved changeable changeable"
5.290;"indicates configuration loaded configuration loaded loaded loaded"
5.291;"load configuration code file code param file load call loaded configuration otherwise distinguishing load error previously loaded configuration load file file status load file file status pcl pcl fire property change configuration file loaded file loaded file file status"
5.292;"load configuration code url code param url load call loaded configuration otherwise distinguishing load error previously loaded configuration load url url status load url url status pcl pcl fire property change configuration url loaded url loaded url url status"
5.293;"save configuration code file code param file save call saved configuration otherwise save file file loaded status save file file status pcl pcl fire property change configuration file saved file status"
5.294;"save configuration code url code param url save call saved configuration otherwise save url url loaded status save url url status pcl pcl fire property change configuration url saved url status"
5.295;"returns string value configuration property param key configuration key param value value key key found value key value key exist string string configuration key key string value load value key key value"
5.296;"returns numeric value configuration property param key configuration key param value value key key found value key value key exist integer configuration key key value load string value key key integer string value integer parse format exception nfe value"
5.406;"using traprect enables move containing figs easily code code org tigris gef presentation fig trap rect trap rect"
5.297;"returns numeric value configuration property param key configuration key param value value key key found value key value key exist configuration key key value load string value key key string value parse format exception nfe value"
5.298;"returns value configuration property param key configuration key param value value key key found value key value key exist configuration key key value load dflt value value key value value key key dflt string dflt value"
5.299;"internal routine calls set value handles functionality including firing property change notifications tracing param key configuration key modify param value value key worker set value configuration key key string value load string value value key key set value key key value pcl pcl fire property change key key value value"
5.300;"sets string value configuration property param key configuration key modify param value value set key set string configuration key key string value worker set value key value"
5.301;"sets numeric value configuration property param key configuration key modify param value value set key set integer configuration key key value worker set value key integer string value"
5.302;"sets numeric value configuration property param key configuration key modify param value value set key set configuration key key value worker set value key string value"
5.303;"sets value configuration property param key configuration key modify param value value set key set configuration key key value bool value value worker set value key bool string"
5.304;"adds property change listener param listen property changes add listener property change listener pcl pcl property change support log debug add property change listener pcl add property change listener"
5.305;"removes property change listener param remove property change listener remove listener property change listener pcl log debug remove property change listener pcl remove property change listener"
5.306;"adds property change listener simplicity param key specific key listen param listen property changes add listener configuration key key property change listener pcl pcl property change support log debug add property change listener key key pcl add property change listener key key"
5.307;"removes property change listener param key specific key listened param remove property change listener remove listener configuration key key property change listener pcl log debug remove property change listener key key pcl remove property change listener key key"
5.308;"internal processing load unspecified source load successful otherwise load unspecified"
5.309;"internal processing save unspecified source save successful otherwise save unspecified"
5.310;"internal processing load code file code param file file load load successful otherwise load file file file"
5.311;"internal processing load code url code param url url load load successful otherwise load url url url"
5.312;"internal processing save code file code param file file save save successful otherwise save file file file"
5.313;"internal processing save code url code param url url save save successful otherwise save url url url"
5.314;"allows query existence configuration property overridden implementation efficient method param key property checked key exists otherwise key configuration key key value key key equals value key key"
5.315;"returns string value configuration property param key configuration key param value configuration key value key value key exist string value string key string value"
5.316;"sets string value configuration property param key configuration key modify param value value set key set value string key string value"
5.317;"remove property assotiated value param key key remove remove string key"
5.318;"constructor uml generalizable element leaf check box uml generalizable element leaf check box translator localize checkbox leaf action set generalizable element leaf instance leaf"
5.319;"org argouml uml uml check box build model build model target set selected model facade leaf target"
5.320;"constructor param category param description uml check item string string"
5.321;"constructor param category param description param info url param predicate uml check item string string string predicate"
5.322;"org argouml cognitive checklist check item expand java lang string java lang object string expand string res object search pos match pos res index ocl evaluator ocl start search pos replace occurances offender name offender match pos expr res index ocl evaluator ocl match pos string expr res substring match pos ocl evaluator ocl start length expr string eval str eval str critic ocl evaluator instance eval string expr expansion exception ought critic exception log error failed evaluate critic expression invalid element exception modelelement deleted ignore pass eval str translator localize misc name deleted log debug expr expr eval str res res substring match pos eval str res substring expr ocl evaluator ocl length search pos expr match pos res index ocl evaluator ocl start search pos res"
5.323;"constructor param name name param icon icon param orientation orientation prop panel feature string name image icon icon orientation orientation name icon orientation"
5.324;"constructor prop panel feature param name name shown top panel param orientation orientation panel prop panel feature string name orientation orientation name orientation"
5.325;"returns owner scroll scroll pane scroll pane owner scroll owner scroll owner list model owner list model uml feature owner list model list list uml linked list owner list model list set visible row count owner scroll scroll pane list owner scroll"
5.326;"returns owner scope checkbox uml feature owner scope check box uml feature owner scope check box owner scope checkbox owner scope checkbox owner scope checkbox uml feature owner scope check box owner scope checkbox"
5.327;"panel visibility panel visibility panel visibility panel visibility panel uml model element visibility radio button panel translator localize label visibility visibility panel"
5.328;"constructor param model element uml model param coordinate location param coordinate location fig model object model element model element xpoints ypoints polygon polygon polygon xpoints ypoints fig poly set polygon polygon fig poly set filled add fig fig poly rectangle bounds set bounds width height update edges"
5.329;"constructor hooks fig uml modelelement param ignored param node element fig model graph model object node node"
5.330;"org tigris gef presentation fig set bounds set bounds impl fig poly rectangle bounds bounds fig poly translate bounds bounds width bounds set bounds impl"
5.331;"org argouml uml diagram fig node model element string string string model"
5.332;"constructor prop panel destroy action destroy action lookup icon destroy action"
5.333;"construct selection fig param fig selection fig"
5.334;"handle handle mouse none todo future handle instance pre pre org tigris gef base selection hit handle java awt rectangle org tigris gef presentation handle hit handle rectangle handle hit handle index paint buttons editor globals cur editor selection manager selection manager size mode manager mode manager includes mode modify pressed button content content content width content height inherit icon width inherit icon height assoc icon width assoc icon height selfassoc icon width sah selfassoc icon height hit index instructions add superclass hit below index instructions add subclass hit left index instructions add associated hit index instructions add associated hit sah index instructions add self association index instructions move object"
5.335;"org tigris gef base selection buttons paint buttons graphics paint buttons graphics content content content width content height lines graph model deployment diagram generalizations editor globals cur editor graph model graph model deployment diagram graph model paint button inherit paint button below inherit composite paint button left compos paint button compos paint button selfassoc paint button left assoc paint button assoc paint button selfassoc"
5.336;"org tigris gef base selection drag handle org tigris gef presentation handle drag handle handle hand hand index set paint buttons drag handle hand content content content width content height object edge type object node type model meta types uml reverse hand index add superclass edge type model meta types generalization add subclass edge type model meta types generalization reverse add assoc edge type model meta types association add assoc edge type model meta types association reverse selfassociation drag log warn invalid handle edge type node type editor globals cur editor mode create edge node mode create edge node fixes issue edge type composite setup fig node content content owner reverse push mode"
5.337;"java awt event mouse listener mouse entered java awt event mouse event mouse entered mouse event mouse entered composite shift"
5.338;"org tigris gef base selection buttons node object node button code model core factory build"
5.339;"org tigris gef base selection buttons create edge org tigris gef graph mutable graph model java lang object object create edge mutable graph model mgm object node mgm connect content owner node model meta types generalization"
5.340;"org tigris gef base selection buttons create edge left org tigris gef graph mutable graph model java lang object object create edge left mutable graph model mgm object node mgm connect node content owner model meta types association"
5.341;"org tigris gef base selection buttons create edge org tigris gef graph mutable graph model java lang object object create edge mutable graph model mgm object node mgm connect content owner node model meta types association"
5.342;"org tigris gef base selection buttons create edge self org tigris gef graph mutable graph model object create edge self mutable graph model mgm mgm connect content owner content owner model meta types association"
5.343;"org tigris gef base selection buttons create edge org tigris gef graph mutable graph model java lang object object create edge mutable graph model mgm object node mgm connect node content owner model meta types generalization"
5.344;"constructor param source bean fired event param property name programmatic name property changed param value value property param value value property param original event event fired internally model subsystem caused param changed value object actually added removed remove association event object source string property name object value object value object changed value event object original event source property name value value changed value original event"
5.345;"construct property panel generalization elements prop panel generalization generalization lookup icon generalization config loader tab props orientation add field translator localize label name name text field add field translator localize label discriminator discriminator text field add field translator localize label namespace namespace selector add separator uml generalization parent list model parent list model uml generalization parent list model list parent list uml linked list parent list model parent list set visible row count add field translator localize label parent scroll pane parent list uml generalization child list model child list model uml generalization child list model list child list uml linked list child list model child list set visible row count add field translator localize label child scroll pane child list add field translator localize label powertype uml combo box uml generalization powertype combo box model action set generalization powertype instance add action action navigate container element add action action stereotype add action delete action"
5.346;"org argouml uml foundation core prop panel model element navigate navigate object target target model facade model element target object namespace model facade namespace target namespace target manager instance set target namespace"
5.347;"discriminator textfield text field discriminator text field discriminator text field discriminator text field uml text field discriminator document discriminator text field"
5.348;"constructor test xmi reader param arg name test test xmi file persister string arg arg"
5.349;"regression test issue test basic serialization xmi file test save project project manager manager empty project object clazz model core factory build model object model project manager manager current project model object type project manager manager current project type object oper model core factory build operation clazz model type model core helper set type model facade parameter oper type string file file file test xmi xmi file persister persister xmi file persister pre save persister save file post save save exception fail save resulted exception"
5.450;"constructor cmd create node param args hastable arguments param name localized name command tooltip name cmd create node hashtable args string name args resource loader wrapper image binding name tool tip name"
5.350;"regression test issue test loading minimal xmi file test load project file file file test xmi xmi file persister persister xmi file persister project manager manager empty project persister load file exception fail load resulted exception"
5.351;"constructor action set element ownership specification action set association aggregation translator localize action set set tooltip string value action description translator localize action set"
5.352;"java awt event action listener action performed java awt event action event action performed action event action performed source radio button radio button source radio button source string action command source action command object target uml radio button panel source parent target model facade association target object association target object aggregation action command equals aggregate command model aggregation aggregate action command equals composite command model aggregation composite model aggregation none model core helper set aggregation"
5.353;"returns singleton action set association aggregation instance singleton"
5.354;"creates diagram param editor editor operate diagram editor editor current editor editor"
5.355;"current editor current editor editor editor current editor"
5.356;"mark diagram modified layout complete diagram marked add list param diagram diagram mark modified mark diagram modified object diagram modified diagrams contains diagram modified diagrams add diagram"
5.357;"list modified diagrams list modified diagrams vector modified diagrams modified diagrams"
5.358;"reset list modified diagrams reset modified diagrams modified diagrams vector"
5.359;"add current diagram representation current diagram added param add add object diagram fig fig fig current current add node current layer add fig current add node current layer position fig"
5.360;"check representation current diagram param lookup current diagram figure current diagram otherwise diagram object current diagram current diagram nodes contains"
5.361;"check diagram exists project param name diagram name diagram exists project diagram project string name project project project manager manager current project diagram unique name project diagram name name pgml"
5.362;"create diagram name name param name name name diagram string diagram name string name name replace classes"
5.363;"select create diagram param param name qualified name select diagram object string name check diagram exists project project diagram project name project project project manager manager current project diagram unique name project diagram name name pgml diagram exists project select current target project diagram set current diagram project diagram diagram otherwise create classdiagram add diagram name"
5.364;"add diagram project param attach diagram param name qualified name generate diagram name add diagram object string name project project manager manager current project argo diagram diagram factory instance create diagram uml diagram set name diagram name name add set current diagram property veto exception pve"
5.365;"add current diagram param add editor param minimise minimise fig hiding compartiments attributes operations add object minimise current diagram add current add node fig fig fig current current layer add fig current add node current layer position fig fig set attributes visible minimise fig set operations visible minimise fig set size fig minimum size diagram pass fig update visible fig existing fig list figs current layer contents edges figs size fig fig fig figs fig owner existing fig fig fig existing fig rendering changed add edges pass process added edges current add node related edges"
